"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\james\Desktop\Flutter\topup2p\lib\app_state.dart", "Dart", -44, -6, -9, -59
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\download-image.dart", "Dart", -1, 1, 1, 1
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\firebase_auth.dart", "Dart", 11, 0, 3, 14
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\firebase_options.dart", "Dart", 69, 12, 6, 87
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\firestore.dart", "Dart", 300, 22, 24, 346
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\read-seller.dart", "Dart", -31, -3, -3, -37
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\readDB.dart", "Dart", -62, -4, -4, -70
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\update-to-seller.dart", "Dart", -29, -6, -9, -44
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\updatefirestore.dart", "Dart", -7, 0, -2, -9
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\writeDB.dart", "Dart", -40, -5, -12, -57
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbar.dart", "Dart", -61, 0, -4, -65
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbarwidgets\allwidgets.dart", "Dart", -5, 0, 0, -5
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbarwidgets\loginbutton.dart", "Dart", -42, -1, -3, -46
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbarwidgets\logobutton.dart", "Dart", -23, -1, -2, -26
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbarwidgets\messagebutton.dart", "Dart", -30, -7, -2, -39
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbarwidgets\profilebutton.dart", "Dart", -32, 0, -3, -35
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbarwidgets\searchbutton.dart", "Dart", -82, -1, -12, -95
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\appbarwidgets\signoutbutton.dart", "Dart", -70, 0, -4, -74
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\customdivider.dart", "Dart", -28, 0, -2, -30
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\favorite-placeholder.dart", "Dart", -12, 0, -2, -14
"c:\Users\james\Desktop\Flutter\topup2p\lib\cons-widgets\loadingscreen.dart", "Dart", -60, -7, -12, -79
"c:\Users\james\Desktop\Flutter\topup2p\lib\firebase_options.dart", "Dart", -69, -12, -6, -87
"c:\Users\james\Desktop\Flutter\topup2p\lib\global\globals.dart", "Dart", -233, -3, -5, -241
"c:\Users\james\Desktop\Flutter\topup2p\lib\main.dart", "Dart", 12, -11, -4, -3
"c:\Users\james\Desktop\Flutter\topup2p\lib\models\item_model.dart", "Dart", 26, 0, 6, 32
"c:\Users\james\Desktop\Flutter\topup2p\lib\models\payment_model.dart", "Dart", 40, 0, 5, 45
"c:\Users\james\Desktop\Flutter\topup2p\lib\models\user_model.dart", "Dart", 15, 2, 2, 19
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\favorites_provider.dart", "Dart", 29, 0, 8, 37
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\payment_provider.dart", "Dart", 58, 0, 8, 66
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\sell_items_provder.dart", "Dart", 32, 0, 8, 40
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\user_provider.dart", "Dart", 62, 1, 9, 72
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\chat.dart", "Dart", 384, 3, 14, 401
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\edit_profile.dart", "Dart", 323, 14, 11, 348
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\login.dart", "Dart", 258, 23, 9, 290
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\messages.dart", "Dart", 242, 3, 6, 251
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\profile.dart", "Dart", 266, 3, 10, 279
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\register.dart", "Dart", 289, 12, 18, 319
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\add-item.dart", "Dart", 507, 15, 14, 536
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\add-update_wallet.dart", "Dart", 441, 30, 8, 479
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\seller_home.dart", "Dart", 341, 7, 13, 361
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\seller_main.dart", "Dart", 175, 4, 11, 190
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\wallets.dart", "Dart", 172, 1, 7, 180
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\favorites.dart", "Dart", 210, 9, 11, 230
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\seller.dart", "Dart", 266, 1, 4, 271
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\seller_register.dart", "Dart", 239, 6, 8, 253
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\user_home.dart", "Dart", 164, 6, 9, 179
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\user_main.dart", "Dart", 63, 5, 4, 72
"c:\Users\james\Desktop\Flutter\topup2p\lib\seller\seller-main.dart", "Dart", -70, 0, -6, -76
"c:\Users\james\Desktop\Flutter\topup2p\lib\seller\widgets\edit-profile.dart", "Dart", -355, -13, -24, -392
"c:\Users\james\Desktop\Flutter\topup2p\lib\seller\widgets\messages.dart", "Dart", -19, 0, -3, -22
"c:\Users\james\Desktop\Flutter\topup2p\lib\seller\widgets\seller-home-page.dart", "Dart", -19, 0, -3, -22
"c:\Users\james\Desktop\Flutter\topup2p\lib\seller\widgets\seller-profile.dart", "Dart", -136, -2, -7, -145
"c:\Users\james\Desktop\Flutter\topup2p\lib\seller\widgets\sellerregister.dart", "Dart", -233, -4, -14, -251
"c:\Users\james\Desktop\Flutter\topup2p\lib\sqflite\firestore-sqflite.dart", "Dart", -32, -3, -3, -38
"c:\Users\james\Desktop\Flutter\topup2p\lib\sqflite\sqfliite.dart", "Dart", -147, -50, -19, -216
"c:\Users\james\Desktop\Flutter\topup2p\lib\sqflite\sqflite-global.dart", "Dart", -39, 0, -5, -44
"c:\Users\james\Desktop\Flutter\topup2p\lib\sqflite\updatesqflite.dart", "Dart", -8, 0, -4, -12
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\logout.dart", "Dart", -22, -9, -4, -35
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\provider\favoritesprovider.dart", "Dart", -29, 0, -5, -34
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\cons-widgets\appbarwidgets\searchbutton.dart", "Dart", -82, -1, -12, -95
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\forgotpassword.dart", "Dart", -49, -1, -3, -53
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\icons\favoriteicon.dart", "Dart", -44, -12, -6, -62
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\inbox.dart", "Dart", 0, -1, 0, -1
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\login.dart", "Dart", -250, -18, -9, -277
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\mainpage-widgets\favorites-widgets\favorites-items.dart", "Dart", -82, -10, -6, -98
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\mainpage-widgets\favorites-widgets\favorites.dart", "Dart", -152, -9, -12, -173
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\mainpage-widgets\games-widgets\games.dart", "Dart", -170, -12, -9, -191
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\mainpage-widgets\mainpage.dart", "Dart", -63, -9, -6, -78
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\mainpage-widgets\sort-games.dart", "Dart", -13, 0, -3, -16
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\profile.dart", "Dart", -134, -15, -7, -156
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\register.dart", "Dart", -268, -8, -10, -286
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\seller\seller.dart", "Dart", -173, -4, -6, -183
"c:\Users\james\Desktop\Flutter\topup2p\lib\user\widgets\textwidgets\headline6.dart", "Dart", -17, -1, -4, -22
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\digit_input_formatter.dart", "Dart", 16, 0, 4, 20
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\globals.dart", "Dart", 382, 0, 2, 384
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\image_file_utils.dart", "Dart", 34, 0, 7, 41
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\models_utils.dart", "Dart", 14, 0, 4, 18
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\other_utils.dart", "Dart", 17, 8, 3, 28
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\profile_image.dart", "Dart", 18, 0, 3, 21
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\allwidgets.dart", "Dart", 5, 0, 0, 5
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\appbar.dart", "Dart", 66, 0, 4, 70
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\loginbutton.dart", "Dart", 32, 1, 3, 36
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\logobutton.dart", "Dart", 23, 1, 2, 26
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\messagebutton.dart", "Dart", 58, 0, 2, 60
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\profilebutton.dart", "Dart", 23, 0, 3, 26
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\searchbutton.dart", "Dart", 80, 0, 8, 88
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\signoutbutton.dart", "Dart", 58, 0, 3, 61
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\custom_divider.dart", "Dart", 28, 0, 2, 30
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\favorite_icon.dart", "Dart", 63, 0, 6, 69
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\favorite_placeholder.dart", "Dart", 12, 0, 2, 14
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\headline6.dart", "Dart", 17, 2, 4, 23
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\loading_screen.dart", "Dart", 60, 7, 12, 79
"Total", "-", 2433, -50, 21, 2404